cas,teplota_aht,vlhkost_aht,teplota_bmp,tlak,nadm_vyska
2026-01-09 12:02:33,19.4,39.4,19.6,959.5,1000.3,349.9
2026-01-09 12:02:38,19.4,39.4,19.6,959.5,1000.3,349.9
2026-01-09 12:02:43,19.4,39.4,19.6,959.6,1000.4,349.9
2026-01-09 12:02:48,19.4,39.4,19.6,959.5,1000.3,349.9
2026-01-09 12:02:54,19.5,39.4,19.6,959.5,1000.3,349.9
2026-01-09 12:02:59,19.4,39.4,19.6,959.6,1000.4,349.9
2026-01-09 12:03:04,19.4,39.4,19.6,959.5,1000.3,349.9
2026-01-09 12:03:09,19.5,39.4,19.6,959.5,1000.3,349.9
2026-01-09 12:03:14,19.5,39.5,19.6,959.6,1000.4,349.9
2026-01-09 12:03:20,19.5,39.6,19.6,959.5,1000.3,349.9
2026-01-09 12:03:25,19.5,39.6,19.6,959.6,1000.4,349.9
2026-01-09 12:03:30,19.5,39.7,19.7,959.6,1000.4,349.9
2026-01-09 12:03:35,19.5,39.7,19.7,959.6,1000.4,349.9
2026-01-09 12:03:40,19.5,39.8,19.7,959.6,1000.4,349.9
2026-01-09 12:03:46,19.5,39.9,19.7,959.5,1000.3,349.9
2026-01-09 12:03:51,19.5,39.9,19.7,959.5,1000.3,349.9
2026-01-09 12:03:56,19.5,39.9,19.7,959.6,1000.4,349.9
2026-01-09 12:04:01,19.5,39.8,19.7,959.7,1000.5,349.8
2026-01-09 12:04:06,19.5,39.7,19.7,959.6,1000.4,349.9
2026-01-09 12:04:11,19.5,39.7,19.7,959.6,1000.4,349.9
2026-01-09 12:04:17,19.5,39.7,19.7,959.6,1000.4,349.9
2026-01-09 12:04:22,19.5,39.7,19.7,959.5,1000.3,349.9
2026-01-09 12:04:27,19.5,39.7,19.7,959.6,1000.4,349.9
2026-01-09 12:04:32,19.5,39.8,19.7,959.6,1000.4,349.9
2026-01-09 12:04:37,19.5,39.8,19.6,959.6,1000.4,349.9
2026-01-09 12:04:43,19.5,39.9,19.7,959.6,1000.4,349.9
2026-01-09 12:04:48,19.5,39.9,19.6,959.6,1000.4,349.9
2026-01-09 12:04:53,19.5,40.0,19.7,959.6,1000.4,349.9
2026-01-09 12:04:58,19.5,40.0,19.7,959.6,1000.4,349.9
2026-01-09 12:05:03,19.5,40.1,19.7,959.6,1000.4,349.9
2026-01-09 12:05:08,19.5,40.0,19.7,959.6,1000.4,349.9
2026-01-09 12:05:14,19.5,40.0,19.7,959.5,1000.3,349.9
2026-01-09 12:05:19,19.5,40.0,19.7,959.5,1000.3,349.9
2026-01-09 12:05:24,19.5,40.0,19.7,959.5,1000.3,349.9
2026-01-09 12:05:29,19.5,40.0,19.7,959.6,1000.4,349.9
2026-01-09 12:05:34,19.5,40.0,19.7,959.6,1000.4,349.9
2026-01-09 12:05:40,19.5,40.0,19.7,959.6,1000.4,349.9
2026-01-09 12:05:45,19.5,40.0,19.7,959.6,1000.4,349.9
2026-01-09 12:05:50,19.5,40.1,19.7,959.6,1000.4,349.9
2026-01-09 12:05:55,19.5,40.4,19.7,959.6,1000.4,349.9
2026-01-09 12:06:00,19.5,40.6,19.7,959.6,1000.4,349.9
2026-01-09 12:06:06,19.5,40.7,19.7,959.5,1000.3,349.9
2026-01-09 12:06:11,19.5,40.7,19.7,959.6,1000.4,349.9
2026-01-09 12:06:16,19.6,40.8,19.7,959.6,1000.4,349.9
2026-01-09 12:06:21,19.6,40.7,19.7,959.5,1000.3,349.9
2026-01-09 12:06:26,19.6,40.7,19.7,959.5,1000.3,349.9
2026-01-09 12:06:31,19.5,40.6,19.7,959.5,1000.3,349.9
2026-01-09 12:06:37,19.6,40.4,19.7,959.6,1000.4,349.9
2026-01-09 12:06:42,19.6,40.4,19.7,959.5,1000.3,349.9
2026-01-09 12:06:47,19.6,40.4,19.8,959.6,1000.4,349.9
2026-01-09 12:06:52,19.6,40.5,19.7,959.5,1000.3,349.9
2026-01-09 12:06:57,19.6,40.6,19.8,959.5,1000.3,349.9
2026-01-09 12:07:03,19.6,40.6,19.7,959.6,1000.4,349.9
2026-01-09 12:07:08,19.6,40.7,19.8,959.6,1000.4,349.9
2026-01-09 12:07:13,19.6,40.9,19.8,959.5,1000.3,349.9
2026-01-09 12:07:18,19.6,41.1,19.8,959.6,1000.4,349.9
2026-01-09 12:07:23,19.6,41.0,19.8,959.6,1000.4,349.9
2026-01-09 12:07:28,19.6,40.9,19.8,959.6,1000.4,349.9
2026-01-09 12:07:34,19.6,40.8,19.8,959.5,1000.3,349.9
2026-01-09 12:07:39,19.6,40.7,19.8,959.6,1000.4,349.9
2026-01-09 12:07:44,19.6,40.7,19.8,959.6,1000.4,349.9
2026-01-09 12:07:49,19.6,40.7,19.7,959.5,1000.3,349.9
2026-01-09 12:07:54,19.6,40.7,19.8,959.5,1000.3,349.9
2026-01-09 12:08:00,19.6,40.7,19.8,959.6,1000.4,349.9
2026-01-09 12:08:05,19.6,40.6,19.8,959.5,1000.3,349.9
